STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/28/2023,7.38,0,60,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/29/2023,7.61,0,48,38,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/30/2023,3.8,0,61,42,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,1/31/2023,6.71,0.18,52,37,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/1/2023,3.8,0.13,39,32,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/2/2023,3.13,0,41,34,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/3/2023,8.28,0,44,22,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/4/2023,6.49,0,37,16,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/5/2023,9.84,0,58,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/6/2023,5.59,0,60,36,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/7/2023,6.49,0,57,29,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/8/2023,3.8,0,70,45,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/9/2023,9.62,0,72,48,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/10/2023,7.38,0,67,50,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/11/2023,4.25,0,56,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/12/2023,7.38,1.05,42,36,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/13/2023,5.82,0.02,58,40,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/14/2023,4.92,0,66,34,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/15/2023,10.07,0.01,75,48,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/16/2023,2.91,0.04,62,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/17/2023,8.05,0.53,63,36,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/18/2023,5.14,0,52,28,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/19/2023,12.75,0,65,36,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/20/2023,7.38,0,65,46,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/21/2023,6.93,0,70,44,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/22/2023,2.91,0.19,57,42,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/23/2023,5.37,0,82,45,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/24/2023,8.05,0,70,43,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/25/2023,2.46,0.02,43,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/26/2023,6.71,0,69,32,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/27/2023,3.8,0.14,54,38,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,2/28/2023,4.92,0,63,44,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/1/2023,6.71,0,63,38,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/2/2023,3.8,0.03,70,52,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/3/2023,6.71,0.37,54,40,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/4/2023,8.28,0,62,40,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/5/2023,3.58,0,68,36,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/6/2023,3.8,0,65,34,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/7/2023,9.17,0,61,42,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/8/2023,7.61,0,57,35,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/9/2023,3.36,0,63,34,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/10/2023,4.03,0.02,50,41,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/11/2023,7.61,0,49,33,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/12/2023,2.01,0.15,40,31,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/13/2023,3.13,0,53,35,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/14/2023,8.95,0,46,33,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/15/2023,8.95,0,54,32,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/16/2023,8.05,0,69,36,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/17/2023,11.18,0,65,50,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/18/2023,6.93,0,56,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/19/2023,6.04,0,45,30,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/20/2023,3.36,0,55,26,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/21/2023,5.59,0,68,27,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/22/2023,9.17,0,69,50,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/23/2023,10.51,0,87,49,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/24/2023,8.05,0.09,72,49,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/25/2023,4.7,0.11,65,46,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/26/2023,4.7,0,75,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/27/2023,5.37,0,73,49,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/28/2023,4.47,0.04,61,45,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/29/2023,4.7,0.01,63,35,1,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/30/2023,5.59,0,62,40,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,3/31/2023,7.83,0.23,67,39,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/1/2023,13.65,0.06,81,50,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/2/2023,6.26,0,63,43,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/3/2023,6.71,0,75,36,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/4/2023,6.93,0,85,54,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/5/2023,10.29,0,88,59,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/6/2023,4.25,0,89,64,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/7/2023,3.58,0.09,65,44,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/8/2023,6.71,0,55,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/9/2023,4.7,0,63,31,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/10/2023,4.03,0,68,35,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/11/2023,4.03,0,80,38,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/12/2023,4.92,0,86,56,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/13/2023,5.14,0,89,49,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/14/2023,8.05,0.22,83,53,1,0,1,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/15/2023,3.8,0,80,60,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/16/2023,6.71,0.07,84,56,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/17/2023,5.14,0,68,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/18/2023,6.26,0,77,46,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/19/2023,3.8,0,81,44,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/20/2023,4.92,0,92,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/21/2023,9.17,0,90,60,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/22/2023,6.04,0.87,72,49,1,0,1,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/23/2023,3.8,0,69,44,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/24/2023,3.8,0,65,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/25/2023,2.46,0,63,37,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/26/2023,4.47,0.05,69,39,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/27/2023,4.92,0.06,74,44,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/28/2023,8.95,2.4,60,53,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/29/2023,2.68,0,76,47,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,4/30/2023,5.82,0.38,73,56,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/1/2023,8.72,0,62,48,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/2/2023,6.26,0,62,48,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/3/2023,6.93,0,60,43,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/4/2023,4.25,0,67,43,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/5/2023,2.01,0,73,41,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/6/2023,3.13,0,77,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/7/2023,2.68,0.22,80,52,1,1,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/8/2023,4.25,0.07,88,59,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/9/2023,4.03,0.18,69,51,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/10/2023,2.01,0,76,47,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/11/2023,3.8,0,83,50,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/12/2023,2.46,0.07,88,59,0,0,1,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/13/2023,5.14,0.65,78,62,1,1,1,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/14/2023,3.8,0,79,57,1,1,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/15/2023,5.37,0,68,57,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/16/2023,3.36,0.04,78,60,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/17/2023,5.82,0,80,57,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/18/2023,6.26,0,70,54,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/19/2023,3.8,0,76,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/20/2023,3.36,0.31,84,56,0,0,1,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/21/2023,3.36,0,80,57,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/22/2023,3.36,0,80,51,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/23/2023,5.14,0,76,53,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/24/2023,3.13,0,81,52,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/25/2023,8.5,0,73,53,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/26/2023,5.37,0,75,44,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/27/2023,6.49,0,77,49,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/28/2023,9.84,0.08,74,59,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/29/2023,10.74,0.05,78,63,1,0,1,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/30/2023,8.28,0.01,79,60,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,5/31/2023,2.24,0,81,57,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/1/2023,2.91,0,85,,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/2/2023,3.8,0,91,53,0,0,0,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/3/2023,6.93,0,90,61,0,0,1,0,0,0,0,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/4/2023,3.8,0,71,56,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/5/2023,2.24,0,81,52,1,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/6/2023,3.58,0,84,53,0,0,0,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/7/2023,3.58,0,82,60,0,0,1,0,0,0,1,0
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,6/8/2023,3.13,0,79,54,1,0,0,0,0,0,1,0
